text,label,notes
"Just rewatched Willy Wonka and The Chocolate Factory (1971) and forgot how ridiculous it is before they even get to the factory tour.
Discussion
I've (33) watched this movie probably 20 times in my life, but I sat down today and intentionally watched it for the first time in about a decade. I always loved it because it's so silly, but most of the parts I'd attribute to its silliness were always from the factory tour and I forgot how great the first half of the movie is.

The guy who built a machine to calculate the location of the remaining golden tickets, and the machine spits out a response saying it won't help the man cheat and ""what would a machine do with a lifetime supply of chocolate?""

The fancy auction in the UK where the Queen bids $5k for a case of Wonka bars.

The lady whose husband gets kidnapped and The kidnappers call and say the ransom is a box of Wonka bars, and the wife asks if she can have time to think on it.

The guy who tells his shrink that the Archangel visited his dreams and told him the location of a ticket.

Charlie's math teacher Mr. Turkentine saying ""I've decided to switch our Friday schedule to Monday which means that the test we take each Friday on what we learned that week will now take place on Mondays before we've learned it.""

The math teacher also not being able to figure out 2/1000 as a %, then proceedes to butcher the explanation of calculating percents.

Slugworth showing up in any country the second a ticket is found, including inside Mike Teevee's house.",reaction,lists scenes but mode is nostalgic enthusiasm not argument
"I accidentally activated the audio narration while watching The Naked Gun. Didn't notice something was wrong
Discussion
Watching the naked gun on prime. Somewhere after the halfway mark i accidentally turned on narration feature.

I'll be honest people, i genuinely thought it was part of the damn film. It fit freaking perfectly. Had that noir narration feel just enhanced to the level of it being a bit taken long enough to be funny. Didn't realise until a good 20 minutes later",reaction,
"What is a movie that ""broke"" you so hard you can only watch it once, but you would still recommend it to everyone?
Question
We’ve all had that experience. You finish a movie, the credits roll, and you just sit there in silence for ten minutes staring at the wall. You know you just watched a literal masterpiece, so just spit out the name palllllll.

For me, it’s about that emotional hangover. You feel different after the movie ends like your perspective on humanity or history has shifted slightly. I recently had this feeling after finally sitting down to watch Schindler's List. I knew it would be heavy, but I wasn't prepared for how much it would drain me. It’s a 10/10, but I don't think I can ever press play on it again.

I’ve also been diving into Nuremberg, and it’s the same feeling. Seeing the raw reality of justice and the darkness humans are capable of is fascinating but mentally taxing. It makes you realize that cinema isn't just for entertainment; sometimes it's a necessary, painful mirror.",reaction,has brief observation at end but dominant mode is emotional response
"I re-watched The Arrival (2016), and it's probably the most meaninfull movie I've ever watched.
Review
I re-watched The Arrival (2016), and it’s probably the most meaningful movie I’ve ever watched. Now in my late 30s, it sounds cliche, but it hits with a different weight compared to when I first watched it 10 years ago.

Arrival is one of the rare science-fiction films that treats intelligence, empathy, and restraint as its true spectacles. Beneath its fucking amazing and moody visuals and measured pacing lies a meditation on language as a technology, one capable of reshaping not just communication but cognition itself. Villeneuve avoids the genre’s usual obsession with conquest or catastrophe, grounding the encounter instead in linguistics, uncertainty, love, and grief.

That idea mirrors real life as you age. By this point, you’ve learned that understanding does not come without cost. The film’s most unsettling truth is not that the visitors are unknowable, but that truly understanding them permanently alters how time, choice, and loss are experienced. At this point in life, you recognise these patterns in your own life, relationships, careers, and love. You see how earlier decisions quietly encoded both joy and pain, and how awareness doesn’t free you from consequence, it deepens it.

In that sense, Arrival is less about extraterrestrials than about maturity. It asks whether knowledge, love, and connection are still worth pursuing when you can already foresee their endings. The film’s answer feels profoundly adult: meaning isn’t found in avoiding loss, but in choosing fully, consciously, even when the outcome is known.",critique,"opens with personal rewatch framing but majority is thematic argument, good edge case between reaction and critique"
"Watched The Wolf of Wall Street again yesterday and something clicked about how Scorsese tells the story
Discussion
It feels like the entire movie is shot from inside Jordan Belfort’s head. All the excess, the money, drugs, parties, sex is exaggerted to the point of absurdity. Meanwhile the truly dark consequencs never feel as brutal as they realistically were. Scorsese easily could’ve shown the damage in a far more disturbing, grounded way, but he doesn’t. And I think that choice is deliberate.

The “I drove home safely” scene is the clearest example. In Belfort’s mind, he’s a genius who kept it together. Then we see the actual reality total destruction. That one scene tells you everything, the movie isn’t showing the world as it is, but as belfort believes it to be.

That’s why the film feels like its “glorifying” the lifestyle. It’s not Scorsese glorifyng it its belfort. We’re stuck inside his delusion the whole time. The highs look incredible because he thinks they were. The lows feel softened because he never processed the harm he caused.

And then there’s the final scene, which I honestly think is a masterpiece. Belfort is reduced to giving sales seminars, but Scorsese frames it like he’s still the king he imagines himself to be. What hit me the most was the audiences faces all staring at him with this mix of hope, desperation, and admiration. It’s Scorseses final punchline that belfort may have fallen, but the world is still eager to be sold the same dream.

The cycle continues, and people still want what he represents even after seeing how hollow and destructive it is.

To me, that ending recontextualizes the whole movie. It’s not just a story about Belfort. Its about the audience both in the film and in real life who are still drawn to the fantasy he built.

Edit: A few people pointed out that this idea is already established in the very first shot where jordan corrects the color of the car. And yeah, that absolutely sets the rule for the whole movie.

But that’s not exactly what I meant. im talking about how Scorsese goes beyond that one meta moment. He builds an entire visual language around Belfort’s warped perception. It’s not just that Jordan changes tiny details, the whole world is filmed the way he wants to remember it, almost like reality is bending itself around his fantasy.

And the irony is that the truth only breaks through in brief, jarring bursts like the real version of the driving scene, Naomi throwing water on him, the yacht sinking moments where Scorsese essentially grabs the camera back from Jordan and shows the objective version of events.

so yes, that first shot establishes the rule.
but what im pointing at is the way Scorsese keeps that rule alive throughout the entire film, basically letting us watch a movie that feels codirected by jordans own delusions. Thats why the excess feels so shiny, why the darkness feels blunted, and why the whole thing plays like one long, unreliable flashback.",critique,
"Everything Everywhere All at Once… This Movie Just Changed My Life
Discussion
I decided to watch this movie on a whim and wow. I have NO idea what I just watched but I have not had a movie make me feel every emotion possible. The absurdity and chaotic nature was really hard to keep up with at first and make sense of. I’m assuming that was by design to get you on your heels.

And then all of a sudden the tone shifts. I experienced confusion, laughter, pain, sadness. This movie made me re-evaluate my relationships and how I can be a better person. It made me consider the energy I put into the world and the effect it has. It made me feel pain and bring back memories I was not prepared for.

This insane rollercoaster has absolutely changed my life and I am grateful I gave it a shot.

Edit: Any recommendations for similar movies, shows, books, etc.?",reaction,
"Movies that quietly trust the audience and never explain themselves
Discussion
Some movies don’t stop to explain themselves. They move forward and assume you’re watching closely. Characters don’t always say what they feel.

Scenes don’t always resolve in neat ways. You’re expected to read between the lines.

No Country for Old Men does this in a very deliberate way. Important events happen without buildup or explanation. Violence arrives suddenly and leaves just as fast. The film never tells you what it all means. It just places you in that world and lets you sit with the consequences.

Then there’s Lost in Translation. Almost nothing in it is spelled out. The connection between the characters' lives in small gestures, half conversations and shared silence. You understand what’s going on because you’ve probably felt it yourself at some point.

What I like about movies like these is how they stay with you. You think about them later. You replay scenes in your head. On a second watch, things land differently because you’re bringing more of yourself into it.

I’m curious which films made you feel this way. Movies that trusted you enough to stay quiet and let you do some of the work.",reaction,
"Friendship pissed off my whole family
Discussion
Back when the movie released in theaters, I watched it in a crowded AMC with a friend and absolutely loved it. I was not familiar with Robinson’s work, but I loved the absurdity and awkwardness. I think my initial reaction was also influenced by the energy of the theater, which was full of cackles and laughs throughout most of the movie. I got home and thought “man, my husband would have loved that.”

So 2 months ago I made him watch it with me, thinking he’s for sure going to be laughing the entire time just as me and the whole theater were - and he absolutely hates it. Halfway through he’s like, “does it get better?” And I was like “I mean… No… but it’s good!” But by that point I was also feeling completely different about this movie too. The experience of watching it in my apartment next to my extremely unsettled husband was of course a big vibe shift, but I admittedly was also more uncomfortable this time around. But I’m thinking ‘no it’s good I remember laughing so much we HAVE to stick it out.’ Anyways, it ends, and my husband is just sick of it. Like it emotionally drained him, and ruined his mood. And I felt terrible, and weirdly similar.

What I had forgotten was that I had messaged my family after my experience watching it in theaters, of course giving it a glowing review lmao

Well now it’s on HBO Max, so my mom tells me she sat my brother and dad down and watched it - and they all had the same reaction as my husband. Just HATED it.

My mom is messaging me through the whole thing going “your brother couldn’t stand 15 months and went to bed”, “your dad is taking a break - does it get any better?”, “he just licked the toad”, “this is an extremely weird movie why did you tell us to watch this”, “your dad is genuinely mad”, and finally, my favorite message

“That movie put everyone in a mood We are all moody now I’m going to bed “

The last time a movie got a reaction like this from my family the movie was Hereditary. Although I feel bad for pissing everyone off, I do find it pretty incredible that a comedy movie could make so many people feel so deeply uncomfortable that it psychologically impacts them to such a degree, and I just needed to share this with someone. What did you think of this movie lol?",reaction,
"TENET Blew Me Away.
Discussion
I finally watched TENET, and I'm blown away how one of my favorite directors could make such a poor film.

When TENET first came out, I missed in in theaters, but tried to watch it at home. I lasted maybe 30 minutes, but was so confused and bored, I stopped watching it.

I finally decided to watch it in full, properly, thinking maybe I just wasn't in the right headspace at the time.

And for those that might say the film would have been better if it was experienced in IMAX or theatres, I did watch it on a fairly decent setup. 4K Bluray/UB820, LG G5 Oled + Q990D. I fully appreciate the theater experience, but I don't think it would in any way change my feelings.

And after 2.5 hours, I think it's the worst film Nolan has ever made, a director who's films I've generally loved.

Interstellar is one of my favorite films of all time, and I've loved his other films like Memento, Dunkirk, Inception, Batman Trilogy, Oppenheimer, etc... Almost without fail, his films have been complex spectacle with fantastic writing and an emotional core that carried the films.

TENET was none of those things, IMO.

TENET is far too complex for it's own good, and even after fully understanding the different flows of time the characters are going through, it's just a bad story. It's complexity for the sake of complexity, without serving the actual story.

There are precisely 0 characters you care about, there is no emotional core to the film, at all. The final ""idea"" of the film that Neil and the Protag had this great friendship in two different directions was cool, but it was never earned.

I thought John David Washington's performance was pretty awful, he has the charisma of a wet paper bag, and the writing of the film does him no favors. I've liked him in other roles, so I would put more of this on the writing than him to some degree. The writing in general for all the dialog was AWFUL. People talk like CHAT GPT robots, in unnatural ways.

I at least thought the action spectacle would be worth the price of admission, but I thought it was pretty disjointed and unemployable to watch. The fights where people going forward through time were fighting people going backwards just looked disjointed, and unappealing to watch.

Some of the music was kind of cool, but it felt more like soundscapes than a true OST.

Overall, the entire film felt more like an ""idea"" than an actual film, it was insanely disappointing.",reaction,
"Big Fish got me good, but it’s the father/son dynamic that hit. It is my favourite movie, I’ve probably watched it at least 10 times, I used to be able to repeat most of the movie by heart. But I have not been able to watch it since my dad suddenly died 11 years ago. Just thinking about it makes me tear up.",reaction,
